tweet_id,favs_count,retweets
817827839487737858,50532,26334
817777686764523521,10552,2608
817536400337801217,11545,2868
817502432452313088,0,3295
817423860136083457,33104,14244
817415592588222464,5494,924
817181837579653120,0,8212
817171292965273600,8604,1968
817120970343411712,11980,2524
817056546584727552,8431,1597
816829038950027264,0,4588
816816676327063552,9809,1973
816697700272001025,9598,2134
816450570814898180,29804,7835
816336735214911488,8442,1895
816091915477250048,8774,2075
816062466425819140,0,987
816014286006976512,0,5115
815990720817401858,4854,987
815966073409433600,21956,8212
815745968457060357,0,4025
815736392542261248,9670,2210
815639385530101762,8070,1605
815390420867969024,10162,3713
814986499976527872,7525,1242
814638523311648768,11079,2636
814578408554463233,0,5689
814530161257443328,8482,1821
814153002265309185,28224,8454
813944609378369540,0,3108
813910438903693312,9161,1812
813812741911748608,35853,13632
813800681631023104,8185,1712
813217897535406080,18315,7126
813202720496779264,9085,1774
813187593374461952,19520,4236
813172488309972993,9115,1889
813157409116065792,7632,2149
813142292504645637,8357,2334
813130366689148928,4419,434
813127251579564032,11600,3035
813112105746448384,10125,2667
813096984823349248,10398,3540
813081950185472002,9738,2722
813066809284972545,7799,1903
813051746834595840,20602,7187
812781120811126785,7416,1857
812709060537683968,6510,1409
812503143955202048,5960,1191
812466873996607488,7836,1880
812372279581671427,13427,3581
811985624773361665,7148,1370
811744202451197953,7413,1552
811647686436880384,5518,721
811627233043480576,12523,2992
811386762094317568,20585,6240
810984652412424192,5229,1392
810896069567610880,8862,1721
810657578271330305,10784,2568
810284430598270976,34606,10976
810254108431155201,14480,3304
809920764300447744,15318,3852
809808892968534016,0,4793
809448704142938112,6842,1428
809220051211603969,19587,5465
809084759137812480,13016,3451
808838249661788160,9968,2975
808733504066486276,7774,2111
808501579447930884,11129,2552
808344865868283904,41790,20347
808134635716833280,0,5780
808106460588765185,8675,2158
808001312164028416,12329,3461
807621403335917568,14370,3536
807106840509214720,116141,54087
807059379405148160,0,7165
807010152071229440,12921,3787
806629075125202948,73364,33851
806620845233815552,0,5407
806576416489959424,4821,1916
806542213899489280,10059,2306
806242860592926720,0,11372
806219024703037440,6360,1172
805958939288408065,0,5249
805932879469572096,8179,1884
805826884734976000,6472,1782
805823200554876929,0,7829
805520635690676224,5669,1623
805487436403003392,8680,2476
805207613751304193,7724,1687
804738756058218496,13476,3744
804475857670639616,6050,1972
804413760345620481,0,3160
804026241225523202,43718,15766
803773340896923648,9912,2687
803692223237865472,0,7290
803638050916102144,10790,4063
803380650405482500,7649,1840
803321560782307329,0,5193
803276597545603072,9889,2406
802952499103731712,8900,1954
802624713319034886,0,2845
802600418706604034,7006,1425
802572683846291456,8825,2462
802323869084381190,15940,5723
802265048156610565,6839,1347
802239329049477120,8962,2571
802185808107208704,0,269
801958328846974976,7652,1680
801854953262350336,1769,234
801538201127157760,8114,2029
801285448605831168,5952,804
801167903437357056,24064,5780
801127390143516673,0,3876
801115127852503040,7957,2062
800859414831898624,677,96
800855607700029440,0,1574
800751577355128832,10428,2742
800513324630806528,12964,2942
800459316964663297,9368,2135
800443802682937345,0,4217
800388270626521089,11004,2757
800188575492947969,0,3850
800141422401830912,15055,2489
800018252395122689,27912,12860
799774291445383169,0,4571
799757965289017345,8273,2114
799422933579902976,7952,1888
799308762079035393,0,5347
799297110730567681,9728,2691
799063482566066176,7981,2430
798933969379225600,12890,4368
798925684722855936,7409,1414
798705661114773508,0,6510
798701998996647937,0,7607
798697898615730177,0,6395
798694562394996736,0,4855
798686750113755136,0,2278
798682547630837760,0,4653
798673117451325440,0,5459
798665375516884993,0,3839
798644042770751489,0,1808
798628517273620480,0,1939
798585098161549313,0,5553
798576900688019456,0,5727
798340744599797760,0,3263
798209839306514432,10265,2503
797971864723324932,11415,3041
797545162159308800,14355,4790
797236660651966464,19638,6426
797165961484890113,222,26
796904159865868288,0,8739
796865951799083009,7568,1887
796759840936919040,11627,2971
796563435802726400,0,7074
796484825502875648,7459,1720
796387464403357696,10847,4066
796177847564038144,0,13985
796149749086875649,31765,13985
796125600683540480,4898,1759
796116448414461957,8960,2353
796080075804475393,8340,2257
796031486298386433,10643,3651
795464331001561088,48739,23056
795400264262053889,9878,2800
795076730285391872,15959,5341
794983741416415232,0,3299
794926597468000259,10077,2268
794355576146903043,0,10068
794332329137291264,9468,2628
794205286408003585,9111,3256
793962221541933056,16580,4793
793845145112371200,9095,1816
793614319594401792,0,3069
793601777308463104,7873,1582
793500921481273345,10511,2330
793286476301799424,24230,8970
793271401113350145,8573,2348
793256262322548741,19691,8184
793241302385262592,10357,3233
793226087023144960,9669,2823
793210959003287553,8798,2744
793195938047070209,15039,5508
793180763617361921,6839,1958
793165685325201412,9249,2725
793150605191548928,6096,1665
793135492858580992,6304,2452
793120401413079041,12472,3829
792913359805018113,14093,3894
792883833364439040,11125,4176
792773781206999040,7254,1644
